ID,Institucion educativa,Ranking institución educativa,Origen institución educativa,Número de créditos programa educativo,nombreareaconocimiento,Metodología programa educativo,Area programa educativo,Periodicidad programa educativo,Numero periodos programa educativo,Titulo egresado,Opiniones institución educativa,Link,image_url
1,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,164,Economía administración contaduría y afines,Presencial,Administración,Semestral,10,ADMINISTRADOR(A) DE EMPRESAS,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
2,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,122,Ciencias sociales y humanas,Presencial,Antropología y  artes liberales,Semestral,9,ANTROPOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
3,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,179,Ingeniería arquitectura urbanismo y afines,Presencial,Arquitectura,Semestral,10,ARQUITECTO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
4,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,166,Bellas artes,Presencial,Artes plásticas visuales y afines,Semestral,10,MAESTRO EN ARTES PLASTICAS,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
5,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,163,Matemáticas y ciencias naturales,Presencial,Biología microbiología y afines,Semestral,10,BIOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
6,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,126,Ciencias sociales y humanas,Presencial,Ciencia política relaciones internacionales,Semestral,8,POLITÓLOGO (A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
7,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,139,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,9,CIENTÍFICO(A) DE LA COMPUTACIÓN,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
8,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,158,Bellas artes,Presencial,Artes plásticas visuales y afines,Semestral,10,REALIZADOR(A) DE CINE Y TELEVISION,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
9,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,167,Economía administración contaduría y afines,Presencial,Contaduría pública,Semestral,10,CONTADOR(A) PUBLICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
10,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,180,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
